1	U	1	-1	1,2,5,0	.7,.1,.1,.1
1	D	5	-1	5,2,1,0	.7,.1,.1,.1
1	R	2	-1	2,5,1,0	.7,.1,.1,.1
1	L	0	-1	0,1,5,2	.7,.1,.1,.1
2	U	2	-1	2,1,3,6	.7,.1,.1,.1
2	D	6	-1	6,1,2,3	.7,.1,.1,.1
2	R	3	-1	3,6,2,1	.7,.1,.1,.1
2	L	1	-1	1,2,3,6	.7,.1,.1,.1
3	U	3	-1	3,2,7	.8,.1,.1
3	D	7	-1	7,2,3	.8,.1,.1
3	R	3	-1	3,2,7	.8,.1,.1
3	L	2	-1	2,3,7	.8,.1,.1
4	U	0	-1	0,4,5,8	.7,.1,.1,.1
4	D	8	-1	8,5,0,4	.7,.1,.1,.1
4	R	5	-1	5,0,4,8	.7,.1,.1,.1
4	L	4	-1	4,0,5,8	.7,.1,.1,.1
5	U	1	-1	1,4,6,9	.7,.1,.1,.1
5	D	9	-1	9,4,1,6	.7,.1,.1,.1
5	R	6	-1	6,1,4,9	.7,.1,.1,.1
5	L	4	-1	4,9,1,6	.7,.1,.1,.1
6	U	2	-1	2,5,7,10	.7,.1,.1,.1
6	D	10	-1	10,5,2,7	.7,.1,.1,.1
6	R	7	-1	7,2,5,10	.7,.1,.1,.1
6	L	5	-1	5,2,7,10	.7,.1,.1,.1
7	U	3	-1	3,6,7,11	.7,.1,.1,.1
7	D	11	-1	11,6,3,7	.7,.1,.1,.1
7	R	7	-1	7,11,6,3	.7,.1,.1,.1
7	L	6	-1	6,3,7,11	.7,.1,.1,.1
8	U	4	-1	4,8,9,12	.7,.1,.1,.1
8	D	12	-1	12,8,4,9	.7,.1,.1,.1
8	R	9	-1	9,4,8,12	.7,.1,.1,.1
8	L	8	-1	8,4,9,12	.7,.1,.1,.1
9	U	5	-1	5,8,10,13	.7,.1,.1,.1
9	D	13	-1	13,8,5,10	.7,.1,.1,.1
9	R	10	-1	10,13,8,5	.7,.1,.1,.1
9	L	8	-1	8,13,10,5	.7,.1,.1,.1
10	U	6	-1	6,11,14,9	.7,.1,.1,.1
10	D	14	-1	14,9,6,11	.7,.1,.1,.1
10	R	11	-1	11,6,9,14	.7,.1,.1,.1
10	L	9	-1	9,6,11,14	.7,.1,.1,.1
11	U	7	-1	7,10,11,0	.7,.1,.1,.1
11	D	0	-1	0,10,7,11	.7,.1,.1,.1
11	R	11	-1	11,7,10,0	.7,.1,.1,.1
11	L	10	-1	10,7,11,0	.7,.1,.1,.1
12	U	8	-1	8,12,13	.8,.1,.1
12	D	12	-1	12,8,13	.8,.1,.1
12	R	13	-1	13,12,8	.8,.1,.1
12	L	12	-1	12,8,13	.8,.1,.1
13	U	9	-1	9,12,13,14	.7,.1,.1,.1
13	D	13	-1	13,12,9,14	.7,.1,.1,.1
13	R	14	-1	14,13,9,12	.7,.1,.1,.1
13	L	12	-1	12,9,13,14	.7,.1,.1,.1
14	U	10	-1	10,13,14,0	.7,.1,.1,.1
14	D	14	-1	14,13,10,0	.7,.1,.1,.1
14	R	0	-1	0,14,13,10	.7,.1,.1,.1
14	L	13	-1	13,10,0,14	.7,.1,.1,.1
